fye,Nevada_PERS,Montgomery_County,link,Butler_County,link,Harvard,link,Yale,link
2004,12.10%,,,10.27%,https://www.butlercountypa.gov/ArchiveCenter/ViewFile/Item/78,21.10%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/2006fullreport.pdf,19.40%,https://your.yale.edu/sites/default/files/2025-04/2005-2006_annual_financial_report.pdf
2005,9.30%,,,4.14%,https://www.butlercountypa.gov/ArchiveCenter/ViewFile/Item/78,19.20%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/2006fullreport.pdf,22.30%,https://your.yale.edu/sites/default/files/2025-04/2008-2009_annual_financial_report.pdf
2006,8.80%,,,11.29%,https://www.butlercountypa.gov/ArchiveCenter/ViewFile/Item/78,16.70%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/2006fullreport.pdf,22.90%,https://your.yale.edu/sites/default/files/2025-04/2008-2009_annual_financial_report.pdf
2007,15.00%,,,9.34%,https://www.butlercountypa.gov/ArchiveCenter/ViewFile/Item/75,23.00%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/2007fullreport.pdf,28.00%,https://your.yale.edu/sites/default/files/2025-04/2008-2009_annual_financial_report.pdf
2008,-3.20%,,,-23.54%,https://www.butlercountypa.gov/ArchiveCenter/ViewFile/Item/75,8.60%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/2008fullreport.pdf,4.50%,https://your.yale.edu/sites/default/files/2025-04/2008-2009_annual_financial_report.pdf
2009,-15.60%,,,20.12%,https://www.butlercountypa.gov/ArchiveCenter/ViewFile/Item/75,-27.30%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/2009fullreport.pdf,-24.60%,https://your.yale.edu/sites/default/files/2025-04/2012-2013_annual_financial_report.pdf
2010,11.00%,,,13.30%,https://www.butlercountypa.gov/ArchiveCenter/ViewFile/Item/70,11.00%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/2010fullreport.pdf,8.90%,https://your.yale.edu/sites/default/files/2025-04/2012-2013_annual_financial_report.pdf
2011,21.10%,,,1.00%,https://www.butlercountypa.gov/ArchiveCenter/ViewFile/Item/70,21.40%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/2011fullreport.pdf,21.90%,https://your.yale.edu/sites/default/files/2025-04/2012-2013_annual_financial_report.pdf
2012,3.10%,,,13.50%,https://www.butlercountypa.gov/ArchiveCenter/ViewFile/Item/70,-0.10%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/2012fullreport_2.pdf,4.70%,https://your.yale.edu/sites/default/files/2025-04/2012-2013_annual_financial_report.pdf
2013,12.40%,,,17.30%,https://www.butlercountypa.gov/ArchiveCenter/ViewFile/Item/70,11.30%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/2013fullreport.pdf ,12.50%,https://your.yale.edu/sites/default/files/2025-04/2016-2017_annual_financial_report.pdf
