plan_name_hgarb,Name,FY,market_return_from_valuation,admin_expense_pct,market_return_from_acfr
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2001,NA,6.33E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2002,NA,8.69E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2003,NA,8.09E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2004,NA,7.56E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2005,NA,8.15E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2006,NA,8.72E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2007,NA,7.51E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2008,NA,1.14E-03,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2009,NA,1.23E-03,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2010,NA,1.26E-03,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2011,NA,1.23E-03,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2012,NA,1.16E-03,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2013,NA,9.68E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2014,NA,8.83E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2015,NA,1.06E-03,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2016,NA,9.84E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2017,NA,9.88E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2018,NA,8.82E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2019,NA,1.03E-03,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2020,NA,9.98E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2021,NA,7.09E-04,NA
Alabama - Employees Retirement System,Alabama Employees' Retirement System (ERS),2022,NA,8.70E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2001,-2.34E-02,3.58E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2002,-3.02E-02,4.39E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2003,3.31E-02,3.97E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2004,0.1478,3.81E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2005,0.08,2.68E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2006,0.11,5.85E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2007,0.181,7.57E-04,NA
