"Name","average_return_10_years"
"Alaska Judicial Retirement System",0.0884531161506441
"Alaska Public Employees Retirement System",0.0875532810973523
"Alaska Teachers Retirement System",0.0882431660620853
"Arizona Elected Officials Retirement Plan",0.0760681899621085
"Arizona Public Safety Personnel Retirement System",0.0763662017770672
"Arizona Public Safety Personnel Retirement System - Tier 3",0.0456494381683381
"Arizona State Retirement System",0.0915847731617792
"Arkansas Judicial Retirement Plan",0.0804519628447187
"Arkansas Public Employees Retirement System",0.0849399861245104
"Arkansas State Highway Employees Retirement System",0.0700286600894717
"Arkansas State Police Retirement System",0.0825428829518415
"Arkansas Teachers Retirement Plan",0.094150586986741
"CalPERS - California Judges Retirement Fund",0.0227926013075086
"CalPERS - California Judges Retirement Fund II",0.0692927899874851
"CalPERS - California Legislators Retirement Fund",0.0665408699976666
"California State Teachers Retirement System",0.0954647885058835
"Colorado PERA, Denver Public Schools Fund",0.0848153402279728
"Colorado PERA, Judicial Fund",0.0848153402279728
"Colorado PERA, Local Division Fund",0.0848153402279728
"Colorado PERA, School Division Fund",0.0848153402279728
"Colorado PERA, State Division Fund",0.0848153402279728
"Connecticut Judicial Retirement System",0.0705125535329421
"Connecticut Municipal Employees Retirement Plan",0.0705629785890061
"Connecticut State Employees Retirement System",0.075171571263466
"Connecticut Teachers Retirement System",0.0374181171289623
"Dallas Police and Fire Pension System",0.0242397684473872
"Delaware County & Municipal Police and Firefighters’ Pension Plans",0.0901215958152735
"Delaware State Employees’ Pension Plan",0.0902214953790503
"Delaware State Police Pension Plan",0.0903216187072786
"District of Columbia Police Officers and Firefighters Retirement Fund",0.0495219226142929
"District of Columbia Teachers Retirement Fund",0.0494514973093496
"Employee Retirement System of Hawaii",0.0900655583384147
"Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",0.0712116989843192
"Florida Retirement System",0.0907613414143693
"Georgia Employees’ Retirement System",0.0866780001465228
"Georgia Firefighter's Pension Fund",0.064970495009864
"Georgia Judicial Retirement System",0.0871875607817651
"Georgia Public School Employees Retirement System",0.0873171841811127
"Georgia Teachers Retirement System",0.0697900142095031
"Idaho Public Employee Retirement System",0.0583207328940683
"Illinois General Assembly Retirement System",0.0768684327274061
"Illinois Judges Retirement System",0.0824042260193503
"Illinois Municipal Employees Retirement System",0.082845434635348
"Illinois State Employees Retirement System",0.0842533062956896
"Illinois State University Retirement System",0.0825101012925211
"Illinois Teachers Retirement System",0.0840474866090402
"Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund",0.0667560292065605
"Indiana Judges Retirement System",0.0668663396443892
"Indiana Legislators' Retirement System Defined Benefit Plan",0.0674661738158555
"Indiana Prosecuting Attorney’s Retirement Fund",0.0666759132136319
"Indiana Public Employees Retirement Fund",0.0659563735796231
"Indiana State Excise Police, Gaming Agent, Gaming Control Officer and Conservation Enforcement Officers Retirement Plan",0.0664660587909705
"Indiana State Teachers Retirement Fund - 1996 Account",0.0665667581126517
"Indiana State Teachers Retirement Fund - Pre-1996 Account",0.0616139927722914
"Iowa Municipal Fire and Police Retirement System",0.0889741070176697
"Iowa Public Employees' Retirement System",0.0892123997800143
"Kansas Public Employees' Retirement System",0.077561476270982
"Kentucky County Employees Retirement System",NA
"Kentucky Employees Retirement System",NA
"Kentucky State Police Retirement System",0.0432746253814953
"Kentucky Teachers' Retirement System",0.0915447413235126
"Louisiana Clerks of Court Retirement and Relief Fund",0.0695491378512436
"Louisiana District Attorneys Retirement System",0.0706631030810145
"Louisiana Firefighters Retirement System",0.0621542940343334
"Louisiana Municipal Police Retirement System",0.0734485229378024
"Louisiana Parochial Employee Retirement System",NA
"Louisiana Registrar Of Voters Employees Retirement System",0.0649518300780416
"Louisiana School Employees’ Retirement System",0.0847008198505694
"Louisiana State Employees Retirement System",0.0770841346899864
"Maine Public Employees Retirement System (PERS) Defined Benefit Plan",0.0884570875650637
"Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",0.0884570875650637
"Maryland Correctional Officers Retirement System",0.0802193279443086
"Maryland Judges Retirement System",0.0789499606443922
"Maryland Law Enforcement Officers Pension System",0.0788501727857049
"Maryland State Employees’ Retirement System",0.0802193279443086
"Maryland State Police Retirement System",0.0796495186385693
"Maryland Teachers’ Retirement System",0.0799395805068492
"Massachusetts Port Authority Employees Retirement System",0.09879661904455
"Massachusetts State Employees’ Retirement System",0.0978217976549622
"Massachusetts Water Resources Authority Employees Retirement System",0.0683075405054634
"Michigan Judges’ Retirement Plan",0.0722890870389126
"Michigan Legislative Retirement System",0.0448735029841885
"Michigan Municipal Retirement System",0.0160378466905975
"Michigan Public School Employees Retirement System",NA
"Michigan State Employees Retirement System",0.0954760911534347
"Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund",0.0977515489920533
"Minnesota Public Employees Retirement Association (MPERA) Local Government Correctional Employees Plan",0.0974519936618679
"Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund",0.098351649691053
"Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan",0.0977518394524646
"Minnesota State Retirement System (MSRS) General State Employees Retirement Plan",0.0981512940303908
"Minnesota State Retirement System (MSRS) Judges Retirement Plan",0.0977521340203458
"Minnesota State Retirement System (MSRS) Legislators Retirement Plan",NA
"Minnesota State Retirement System (MSRS) State Patrol Retirement Plan",0.0980515473996579
"Minnesota Teachers Retirement Association",0.0978514303306977
"Missouri Local Government Employees Retirement System (LAGERS)",0.096407501624518
