"fy","month","state","state_abb","plan","plan_abb","gov_type2","return","arr","mva","mean_arr","latest_arr","avg_return","rolling_5","rolling_10","rolling_15"
2001,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",-0.0636,0.08,7236735000,0.0785541666666667,0.0745,0.0626529966546157,NA,NA,NA
2002,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",-0.0929,0.08,6424435000,0.0785541666666667,0.0745,0.0626529966546157,NA,NA,NA
2003,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.1648,0.08,7222812000,0.0785541666666667,0.0745,0.0626529966546157,NA,NA,NA
2004,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.1006,0.08,7795598000,0.0785541666666667,0.0745,0.0626529966546157,NA,NA,NA
2005,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.1098,0.08,8464515000,0.0785541666666667,0.0745,0.0626529966546157,0.0386002733899748,NA,NA
2006,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.0837,0.08,9001867000,0.0785541666666667,0.0745,0.0626529966546157,0.0693945494824044,NA,NA
2007,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.1792,0.08,10401218000,0.0785541666666667,0.0745,0.0626529966546157,0.12700132583176,NA,NA
2008,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",-0.1521,0.08,8647705000,0.0785541666666667,0.0745,0.0626529966546157,0.0576526980740155,NA,NA
2009,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",-0.1003,0.08,7679005000,0.0785541666666667,0.0745,0.0626529966546157,0.0158666990393164,NA,NA
2010,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.0847,0.08,8176732000,0.0785541666666667,0.0745,0.0626529966546157,0.0112294474181802,0.0248234875082223,NA
2011,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.0221,0.08,8130435000,0.0785541666666667,0.0745,0.0626529966546157,-0.000537345850255999,0.0338374701852093,NA
2012,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.1801,0.08,9188696000,0.0785541666666667,0.0745,0.0626529966546157,-0.000384828567434492,0.0613988993427697,NA
2013,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.146,0.08,10091940000,0.0785541666666667,0.0745,0.0626529966546157,0.061697599416844,0.059673218762242,NA
2014,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.1202,0.08,10883952000,0.0785541666666667,0.0745,0.0626529966546157,0.109278013079948,0.0615453798422458,NA
2015,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.0105,0.08,10551904000,0.0785541666666667,0.0745,0.0626529966546157,0.0936685927019518,0.0516415200326648,0.0472763438209174
2016,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.1022,0.0788,11177074000,0.0785541666666667,0.0745,0.0626529966546157,0.110296943275878,0.053423148511963,0.058720267720517
2017,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.1286,0.0775,12122471000,0.0785541666666667,0.0745,0.0626529966546157,0.100432456914465,0.0488131287643727,0.0742537681262294
2018,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.0929,0.077,12720352000,0.0785541666666667,0.0745,0.0626529966546157,0.0900402959019428,0.0757756110949528,0.0697003961817984
2019,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.0278,0.077,12568473000,0.0785541666666667,0.0745,0.0626529966546157,0.071433354022781,0.0901914795566761,0.0648311901458987
2020,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.0583,0.077,13150538000,0.0785541666666667,0.0745,0.0626529966546157,0.0813832980325231,0.0875085975433136,0.0614634277924655
2021,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.2218,0.0745,15479476000,0.0785541666666667,0.0745,0.0626529966546157,0.103894578532924,0.107091132763658,0.0699852031276746
2022,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",-0.1302,0.0745,12999159000,0.0785541666666667,0.0745,0.0626529966546157,0.0478605056689014,0.0738248044987895,0.0484954915445672
2023,9,"Alabama","AL","Alabama Employees' Retirement System (ERS)","Alabama ERS","State Plans",0.1289,0.0745,14133341000,0.0785541666666667,0.0745,0.0626529966546157,0.0546745864430707,0.0722116387573231,0.0686954406034184
